Expert_1,Expert_2,Expert_3,Expert_4,Hour,Count
0.1647335565648973,0.20080003578215838,0.3297836460545659,0.30468276251107457,0,400
0.16666892612352968,0.20062734875828028,0.33015642009675505,0.30254730477929115,1,400
0.1669559897109866,0.19897407039999962,0.33393532384186986,0.30013461492955684,2,400
0.1651396575383842,0.19774878948926924,0.33321805510669944,0.3038934989646077,3,400
0.16638466818258166,0.1961243162304163,0.3333524817228317,0.3041385355591774,4,400
0.16596896540373562,0.19848984941840173,0.33502692352980373,0.3005142628028989,5,400
0.16324651231989265,0.1987460745498538,0.3348172047734261,0.3031902080401778,6,400
0.16296014321967958,0.19786039624363183,0.3335208087041974,0.30565865240991114,7,400
0.1669515372812748,0.20095794677734374,0.3331608207523823,0.2989296942576766,8,400
0.1641429567337036,0.19798889700323344,0.33741078048944473,0.3004573660716414,9,400
0.16500481240451337,0.1986157344095409,0.33878796856850385,0.29759148593991996,10,400
0.16392910799011587,0.19769875913858415,0.33747062914073467,0.3009015043452382,11,400
0.16299232695251703,0.19514352221041917,0.3354814187064767,0.3063827331364155,12,400
0.16473161974921824,0.1953669560700655,0.33530957385897636,0.3045918518304825,13,400
0.16723039377480745,0.19974643407389522,0.3341251847893,0.2988979871198535,14,400
0.16622165136039257,0.20054870653897525,0.3322940635308623,0.3009355778619647,15,400
0.16627887981012462,0.1985838643088937,0.33640452854335307,0.2987327280640602,16,400
0.16326427029445767,0.1972902552038431,0.33781650561839344,0.3016289683431387,17,400
0.1640957912430167,0.19733483482152223,0.3361197387427092,0.3024496354535222,18,400
0.16622083958238362,0.1996429714933038,0.33204010270535944,0.3020960868895054,19,400
0.16732179844751954,0.1996603862568736,0.3298278832063079,0.30318993262946603,20,400
0.16758148618042468,0.19939745731651784,0.3279209281876683,0.30510012846440077,21,400
0.16800757510587572,0.2026342003233731,0.3249821004644036,0.3043761287257075,22,400
0.16643014760687946,0.20270839219912887,0.327158193141222,0.3037032661214471,23,400
