Expert_1,Expert_2,Expert_3,Expert_4,Hour,Count
0.2644242742843926,0.22216428419575096,0.2685566697642207,0.2448547725006938,0,400
0.26686947129666805,0.22085809607058762,0.26668689638376236,0.24558553855866194,1,400
0.2681973755173385,0.21996309716254472,0.2647570376843214,0.24708248887211084,2,400
0.26886746352538465,0.22006082750856876,0.2628032936155796,0.24826841358095408,3,400
0.26865359051153065,0.21982571367174386,0.26200153063982723,0.24951916556805373,4,400
0.268902884721756,0.21996225386857987,0.26227566856890916,0.24885919000953435,5,400
0.2688571645319462,0.220356208011508,0.26266689904034135,0.248119728974998,6,400
0.2674350936152041,0.22141947366297246,0.26430729880928994,0.24683813478797675,7,400
0.2657379379309714,0.22257839411497116,0.26412819158285855,0.2475554746389389,8,400
0.26412279428914187,0.22280814837664364,0.26476061340421436,0.24830844409763814,9,400
0.2628984133712947,0.2211529894731939,0.26755189657211303,0.2483966964483261,10,400
0.2624194804392755,0.21908976882696152,0.27089483704417944,0.24759591050446034,11,400
0.260962410736829,0.2189264995791018,0.2748174832947552,0.24529360700398684,12,400
0.26127262622117997,0.21798541193827986,0.27729067323729395,0.243451288305223,13,400
0.26122983418405055,0.2183188539557159,0.2776845848746598,0.2427667238563299,14,400
0.26159942807629705,0.2215659686177969,0.2745583795942366,0.24227622363716364,15,400
0.2619554889202118,0.22591799575835467,0.27016372282058,0.2419627908617258,16,400
0.2617927347496152,0.2306356797926128,0.2659486459940672,0.2416229419596493,17,400
0.26055178958922626,0.23330853309482336,0.2639877956174314,0.2421518817730248,18,400
0.2599944797158241,0.2340991623327136,0.26533527551218866,0.24057108212262393,19,400
0.2592725682631135,0.2337037337757647,0.2679572524130344,0.23906644735485316,20,400
0.2604200505837798,0.23115930575877427,0.26983040375635026,0.2385902427881956,21,400
0.26137049224227665,0.22691156137734653,0.27126647789031266,0.24045147184282542,22,400
0.2639781371690333,0.2244629279896617,0.2697525540739298,0.2418063811585307,23,400
